episodio,score,passos,segundos_jogo,bolas_usadas
293,262250,20649,172.07,3
294,275250,18014,150.12,3
295,673500,25751,214.59,3
296,343750,17151,142.93,3
297,868500,41720,347.67,3
298,841500,40852,340.43,3
299,160000,11167,93.06,3
300,288000,18680,155.67,3
301,358250,17737,147.81,3
302,338000,23958,199.65,3
303,653250,23744,197.87,3
304,296750,21186,176.55,3
305,280250,13040,108.67,3
306,642500,26189,218.24,3
307,455750,25146,209.55,3
308,133750,10902,90.85,3
309,103750,6714,55.95,3
310,360000,17425,145.21,3
311,468750,23312,194.27,3
312,338500,20583,171.52,3
313,345000,14975,124.79,3
314,640000,22279,185.66,3
315,869750,32674,272.28,3
316,295000,17409,145.07,3
317,235250,11619,96.82,3
318,227500,14205,118.37,3
319,376000,17493,145.77,3
320,338750,15337,127.81,3
321,678250,18353,152.94,3
322,549500,26171,218.09,3
323,309500,17211,143.43,3
324,439000,20240,168.67,3
325,250250,15375,128.12,3
326,704000,26984,224.87,3
327,346750,21115,175.96,3
328,540000,14856,123.80,3
329,535500,25659,213.82,3
330,250500,18507,154.23,3
331,449250,20425,170.21,3
332,149750,13113,109.27,3
333,317250,19053,158.77,3
334,880750,32000,266.67,3
335,343750,18510,154.25,3
336,736250,32856,273.80,3
337,364000,24266,202.22,3
338,348000,17653,147.11,3
339,682000,30101,250.84,3
340,645500,15949,132.91,3
341,391750,20171,168.09,3
342,286250,14258,118.82,3
343,494250,24472,203.93,3
344,1445500,34508,287.57,3
345,139500,10113,84.28,3
346,621750,34009,283.41,3
347,583250,27815,231.79,3
348,851750,16754,139.62,3
349,301000,15278,127.32,3
350,484750,28091,234.09,3
351,448500,19304,160.87,3
352,371500,18841,157.01,3
353,826000,32078,267.32,3
354,356500,15478,128.98,3
355,224500,12530,104.42,3
356,1042000,25275,210.62,3
357,355000,17854,148.78,3
358,1680750,42760,356.33,3
359,360750,15014,125.12,3
360,354000,19579,163.16,3
361,350000,21048,175.40,3
362,170500,12284,102.37,3
363,401250,21125,176.04,3
364,289750,13706,114.22,3
365,301750,20000,166.67,3
366,537500,23736,197.80,3
367,140750,9032,75.27,3
368,429750,12260,102.17,3
369,520250,29698,247.48,3
370,272250,14708,122.57,3
371,555000,30173,251.44,3
372,148250,14216,118.47,3
373,215250,12089,100.74,3
374,288000,15605,130.04,3
375,429750,18716,155.97,3
376,676000,26379,219.82,3
377,1088750,24772,206.43,3
378,336250,16665,138.88,3
379,258750,15121,126.01,3
380,194000,14056,117.13,3
381,277750,15070,125.58,3
382,587000,19125,159.38,3
383,240250,10604,88.37,3
384,459250,16644,138.70,3
385,306250,17519,145.99,3
386,429000,18169,151.41,3
387,197500,11743,97.86,3
388,1036000,34258,285.48,3
389,501500,22479,187.32,3
390,372750,19419,161.82,3
391,596500,30701,255.84,3
392,432500,18240,152.00,3
393,271250,14798,123.32,3
394,251250,15723,131.02,3
395,583500,23743,197.86,3
396,665250,22721,189.34,3
397,276500,13102,109.18,3
398,268250,20316,169.30,3
399,168000,13051,108.76,3
400,604500,28627,238.56,3
401,309000,19037,158.64,3
402,977500,22715,189.29,3
403,317250,15536,129.47,3
404,536750,14934,124.45,3
405,341000,11923,99.36,3
406,507000,21906,182.55,3
407,411750,20214,168.45,3
408,168500,13923,116.02,3
409,1190000,23013,191.77,3
410,441500,16563,138.02,3
411,136750,12082,100.68,3
412,1005750,25234,210.28,3
413,1416000,25479,212.32,3
414,512500,26704,222.53,3
415,477250,22403,186.69,3
416,384000,21460,178.83,3
417,2326750,45217,376.81,3
418,477250,20397,169.98,3
419,346250,19482,162.35,3
420,198500,13217,110.14,3
421,575500,24229,201.91,3
422,431750,16051,133.76,3
423,782500,28728,239.40,3
424,180500,10786,89.88,3
425,426500,17873,148.94,3
426,470000,18968,158.07,3
427,516500,18449,153.74,3
428,262000,15963,133.02,3
429,322000,17334,144.45,3
430,269000,16045,133.71,3
431,119500,8662,72.18,3
432,1007250,24272,202.27,3
433,127250,8330,69.42,3
434,355000,20241,168.68,3
435,252750,15229,126.91,3
436,779250,31241,260.34,3
437,388000,19201,160.01,3
438,492000,25929,216.07,3
439,692500,31532,262.77,3
440,327250,16285,135.71,3
441,762750,27737,231.14,3
442,410750,15564,129.70,3
443,399750,19378,161.48,3
444,261750,14705,122.54,3
445,778250,34528,287.73,3
446,208750,13139,109.49,3
447,536750,24124,201.03,3
448,239250,11738,97.82,3
449,484750,18360,153.00,3
450,1142250,22953,191.27,3
451,131000,10581,88.18,3
452,352000,15717,130.97,3
453,152500,9275,77.29,3
454,489000,25894,215.78,3
455,222500,12348,102.90,3
456,302000,13596,113.30,3
457,173000,9705,80.88,3
458,1345750,27488,229.07,3
459,726250,22408,186.73,3
460,1011500,26051,217.09,3
461,518750,26846,223.72,3
462,263750,15820,131.83,3
463,595250,20654,172.12,3
464,354500,19082,159.02,3
465,277500,14281,119.01,3
466,212250,10652,88.77,3
467,533000,25206,210.05,3
468,963000,41462,345.52,3
469,290750,14178,118.15,3
470,839000,19544,162.87,3
471,420250,20024,166.87,3
472,806250,33853,282.11,3
473,302750,18205,151.71,3
474,525000,25347,211.22,3
475,207000,12335,102.79,3
476,1163250,31916,265.97,3
477,394000,16591,138.26,3
478,496750,24057,200.48,3
479,496500,27837,231.97,3
480,476500,25402,211.68,3
481,219250,12787,106.56,3
482,523250,21819,181.82,3
483,308750,16774,139.78,3
484,444750,20120,167.67,3
485,418750,20333,169.44,3
486,652750,27537,229.47,3
487,981000,24961,208.01,3
488,726000,30066,250.55,3
489,294000,12084,100.70,3
490,261750,14302,119.18,3
491,228750,12581,104.84,3
492,268750,16659,138.82,3
493,423250,14064,117.20,3
494,1392000,37839,315.33,3
495,1092500,23271,193.93,3
496,224000,16018,133.48,3
497,380750,21707,180.89,3
498,324000,13781,114.84,3
499,396750,14245,118.71,3
500,251750,13809,115.07,3
501,120250,10094,84.12,3
502,606500,26335,219.46,3
503,167000,11579,96.49,3
504,358750,15697,130.81,3
505,270250,13834,115.28,3
506,308750,19975,166.46,3
507,231750,17465,145.54,3
508,202500,12686,105.72,3
509,499500,25511,212.59,3
510,1716500,39501,329.17,3
511,366000,16856,140.47,3
512,194000,9816,81.80,3
513,457500,20576,171.47,3
514,647750,32864,273.87,3
515,163000,13151,109.59,3
516,1052000,19406,161.72,3
517,344250,18567,154.73,3
518,413500,18073,150.61,3
519,296250,13771,114.76,3
520,542500,23989,199.91,3
521,263750,13894,115.78,3
522,279000,15272,127.27,3
523,346750,26075,217.29,3
524,170500,9466,78.88,3
525,489750,16787,139.89,3
526,212750,10839,90.32,3
527,313000,14033,116.94,3
528,1137250,20066,167.22,3
529,358500,16401,136.68,3
530,161250,10740,89.50,3
531,317250,21434,178.62,3
