episodio,passo,tempo_s,x,y,vx,vy,speed,score,bolas_restantes,luzes,mult,acao_esq,acao_dir,flip_esq,flip_dir,rel_esq_x,rel_esq_y,rel_dir_x,rel_dir_y,tela_x,tela_y
22,26808,677.7,2.4659,11.3316,0.1439,0.0069,0.1441,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,26812,677.8,2.466,11.3311,-0.0069,0.1062,0.1064,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,26816,677.9,2.4619,11.3344,-0.1232,0.1964,0.2319,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,26820,678.0,2.4659,11.3316,0.1439,0.0069,0.1441,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,26824,678.1,2.466,11.3311,-0.0069,0.106,0.1062,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,26828,678.2,2.4619,11.3344,-0.1233,0.1965,0.2319,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,26832,678.3,2.4659,11.3316,0.1439,0.007,0.1441,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,26836,678.4,2.466,11.3311,-0.0069,0.1062,0.1064,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,26840,678.5,2.4619,11.3344,-0.1232,0.1963,0.2318,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,26844,678.6,2.4659,11.3316,0.1435,0.0069,0.1436,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,26848,678.7,2.466,11.3311,-0.0068,0.1061,0.1063,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,26852,678.8,2.4619,11.3344,-0.1232,0.1964,0.2318,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,26856,678.9,2.4659,11.3316,0.1441,0.007,0.1442,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,26860,679.0,2.466,11.3311,-0.0068,0.1062,0.1064,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,26864,679.1,2.4619,11.3344,-0.1233,0.1963,0.2318,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,26868,679.2,2.4659,11.3316,0.1436,0.007,0.1438,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,26872,679.3,2.466,11.3311,-0.0066,0.106,0.1062,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,26876,679.4,2.4619,11.3344,-0.1233,0.1964,0.2319,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,26880,679.5,2.4659,11.3316,0.1435,0.0069,0.1437,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,26884,679.6,2.466,11.3311,-0.0068,0.1062,0.1064,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,26888,679.7,2.4619,11.3344,-0.1231,0.1964,0.2318,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,26892,679.8,2.4659,11.3316,0.1439,0.0068,0.1441,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,26896,679.9,2.466,11.3311,-0.0068,0.1061,0.1063,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,26900,680.0,2.4619,11.3344,-0.1229,0.1963,0.2316,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,26904,680.1,2.4659,11.3316,0.1439,0.0069,0.1441,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,26908,680.2,2.466,11.3311,-0.0066,0.106,0.1062,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,26912,680.3,2.4619,11.3344,-0.1231,0.1965,0.2319,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,26916,680.4,2.4659,11.3316,0.1438,0.0068,0.144,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,26920,680.5,2.466,11.3311,-0.0068,0.1063,0.1065,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,26924,680.6,2.4619,11.3344,-0.1231,0.1964,0.2318,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,26928,680.7,2.4659,11.3316,0.1441,0.0069,0.1443,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,26932,680.8,2.466,11.3311,-0.0071,0.1063,0.1065,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,26936,680.9,2.4619,11.3344,-0.1231,0.1963,0.2317,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,26940,681.0,2.4659,11.3316,0.144,0.0069,0.1442,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,26944,681.1,2.466,11.3311,-0.0068,0.1063,0.1065,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,26948,681.2,2.4619,11.3344,-0.1233,0.1964,0.2319,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,26952,681.3,2.4659,11.3316,0.1436,0.0069,0.1438,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,26956,681.4,2.466,11.3311,-0.0068,0.1061,0.1063,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,26960,681.5,2.4619,11.3344,-0.1231,0.1964,0.2318,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,26964,681.6,2.4659,11.3316,0.1439,0.0069,0.144,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,26968,681.7,2.466,11.3311,-0.0069,0.1061,0.1064,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,26972,681.8,2.4619,11.3344,-0.1229,0.1963,0.2316,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,26976,681.9,2.4659,11.3316,0.1437,0.0068,0.1439,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,26980,682.0,2.466,11.3311,-0.0068,0.1061,0.1064,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,26984,682.1,2.4619,11.3344,-0.1233,0.1964,0.2319,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,26988,682.2,2.4659,11.3316,0.1438,0.007,0.144,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,26992,682.3,2.466,11.3311,-0.0067,0.1061,0.1063,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,26996,682.4,2.4619,11.3344,-0.1232,0.1964,0.2318,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,27000,682.5,2.4659,11.3316,0.1438,0.0071,0.144,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,27004,682.6,2.466,11.3311,-0.0069,0.1061,0.1063,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,27008,682.7,2.4619,11.3344,-0.1233,0.1964,0.2319,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,27012,682.8,2.4659,11.3316,0.144,0.0069,0.1441,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,27016,682.9,2.466,11.3311,-0.0068,0.1059,0.1062,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,27020,683.0,2.4619,11.3344,-0.123,0.1964,0.2317,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,27024,683.1,2.4659,11.3316,0.144,0.0069,0.1441,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,27028,683.2,2.466,11.3311,-0.0068,0.1061,0.1063,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,27032,683.3,2.4619,11.3344,-0.1231,0.1964,0.2318,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,27036,683.4,2.4659,11.3316,0.1437,0.0069,0.1439,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,27040,683.5,2.466,11.3311,-0.007,0.1063,0.1065,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,27044,683.6,2.4619,11.3344,-0.1231,0.1964,0.2318,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,27048,683.7,2.4659,11.3316,0.1438,0.007,0.144,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,27052,683.8,2.466,11.3311,-0.0067,0.1061,0.1063,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,27056,683.9,2.4619,11.3344,-0.1232,0.1964,0.2319,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,27060,684.0,2.4659,11.3316,0.1441,0.0071,0.1443,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,27064,684.1,2.466,11.3311,-0.0067,0.1061,0.1063,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,27068,684.2,2.4619,11.3344,-0.1233,0.1964,0.2319,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,27072,684.3,2.4659,11.3316,0.1436,0.0071,0.1438,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,27076,684.4,2.466,11.3311,-0.0067,0.1061,0.1063,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,27080,684.5,2.4619,11.3344,-0.1232,0.1965,0.2319,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,27084,684.6,2.4659,11.3316,0.1438,0.0068,0.144,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,27088,684.7,2.466,11.3311,-0.0068,0.1061,0.1063,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,27092,684.8,2.4619,11.3344,-0.1233,0.1963,0.2318,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,27096,684.9,2.4659,11.3316,0.1442,0.0071,0.1444,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,27100,685.0,2.466,11.3311,-0.0067,0.106,0.1062,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,27104,685.1,2.4619,11.3344,-0.123,0.1964,0.2317,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
